No,L,C,fsw,t_d,d_cycle,average_current,delta_current,average_voltage,delta_voltage,DCR,ESR,P_ON_H,P_ON_L,P_COSS,P_D,P_G,P_L_DCR,P_CAP_ESR,P_total
0,2.9999999999999997e-05,2.440213971050976e-05,20000.0,1.752e-07,0.2,2.5884006810372444,10.353299627941968,2.58840004811309,2.601514536391081,2.7032543999999996,0.04565520134135787,0.002023211103095075,0.03549577017623172,0.124416,0.0952324378567223,0.6799999999999999,1037143.327404605,0.0009951636200673298,1037144.2655671877
1,2.9999999999999997e-05,2.440213971050976e-05,20000.0,1.752e-07,0.35,4.529701363857348,13.374820889809213,4.529699932088154,3.8294105456834786,2.7032543999999996,0.04565520134135787,0.01084314746519664,0.10405874143089762,0.124416,0.16665677257903955,0.6799999999999999,3176251.6814504433,0.0016607829410592249,3176252.769085888
2,2.9999999999999997e-05,2.440213971050976e-05,20000.0,2.628e-07,0.2,2.5884006832751245,10.353299676655997,2.588400046827413,2.601514605512529,2.7032543999999996,0.04565520134135787,0.002023211105588588,0.03549577023861455,0.124416,0.09523243793905838,0.6799999999999999,1037143.3291979922,0.0009951636294321569,1037144.267360575
3,2.9999999999999997e-05,2.440213971050976e-05,20000.0,2.628e-07,0.35,4.529701361860189,13.374820853944472,4.529699934017531,3.829410439226038,2.7032543999999996,0.04565520134135787,0.01084314746025361,0.10405874133451948,0.124416,0.16665677250556007,0.6799999999999999,3176251.6786496053,0.0016607829321524069,3176252.7662850493
4,2.9999999999999997e-05,2.440213971050976e-05,200000.0,1.752e-07,0.2,2.1349166303836387,1.098707620519015,2.13491259325748,0.02844720959238156,2.7032543999999996,0.004565520134135788,0.0011352427294152546,0.024388823775241073,0.124416,0.07854785266507484,0.6799999999999999,705565.939182949,1.1207305205066179e-05,705566.8476820755
5,2.9999999999999997e-05,2.440213971050976e-05,200000.0,1.752e-07,0.35,4.076209211384818,1.7177945185210883,4.076212811004301,0.044355210563090886,2.7032543999999996,0.004565520134135788,0.007901627847619858,0.08514506874825938,0.124416,0.14997188930527017,0.6799999999999999,2572105.0311307516,2.7395507540080934e-05,2572106.078592733
6,2.9999999999999997e-05,2.440213971050976e-05,200000.0,2.628e-07,0.2,1.9081719930278869,1.0032798495470028,1.9081687191520262,0.02599299950598777,2.7032543999999996,0.004565520134135788,0.0008105850624705118,0.019579688925395185,0.124416,0.070205463967482,0.6799999999999999,563651.6741492414,9.345038717196219e-06,563652.5691703244
7,2.9999999999999997e-05,2.440213971050976e-05,200000.0,2.628e-07,0.35,3.8494677756915676,1.6613989234994193,3.8494689502167216,0.04296982964826146,2.7032543999999996,0.004565520134135788,0.00665501421569652,0.07632803785839508,0.124416,0.14162961840324415,0.6799999999999999,2293914.0619400432,2.5626233267061908e-05,2293915.09099434
8,2.9999999999999997e-05,0.001,20000.0,1.752e-07,0.2,2.590604587599043,10.371145903519276,2.5825215543217332,0.07503633632216733,2.7032543999999996,0.0011140846016432675,0.0020220551901603575,0.03556084473385921,0.124416,0.095313523986944,0.6799999999999999,1038910.2409395517,0.0009985973603285937,1038911.179250573
9,2.9999999999999997e-05,0.001,20000.0,1.752e-07,0.35,4.533543804333141,13.47903915215328,4.519451463707624,0.11005950945708332,2.7032543999999996,0.0011140846016432675,0.010836976934883932,0.10425993184963758,0.124416,0.16679814364902493,0.6799999999999999,3181642.6480784463,0.0016867658322440027,3181643.7360762646
10,2.9999999999999997e-05,0.001,20000.0,2.628e-07,0.2,2.590645786908828,10.37119956227447,2.582411656361807,0.075183297463147,2.7032543999999996,0.0011140846016432675,0.002022033455282314,0.035562061866797064,0.124416,0.0953150397919496,0.6799999999999999,1038943.2855233612,0.0009986076935416081,1038944.223837104
11,2.9999999999999997e-05,0.001,20000.0,2.628e-07,0.35,4.533581865709627,13.479088217326016,4.519349926454062,0.1101957934656772,2.7032543999999996,0.0011140846016432675,0.010836915423951073,0.10426192596135958,0.124416,0.1667995440031886,0.6799999999999999,3181696.071277708,0.0016867781122895786,3181697.159278871
12,2.9999999999999997e-05,0.001,200000.0,1.752e-07,0.2,2.136721051025273,1.1007719292632452,2.1300991256065,0.007295161059047484,2.7032543999999996,0.00011140846016432677,0.0011345986465157926,0.024432631712893668,0.124416,0.07861424090932184,0.6799999999999999,706759.1246697559,1.1249458497965882e-05,706760.0332784767
13,2.9999999999999997e-05,0.001,200000.0,1.752e-07,0.35,4.079654407137786,1.721518720956296,4.067022430995123,0.013684924917628294,2.7032543999999996,0.00011140846016432677,0.007897144911162637,0.08530690354623843,0.124416,0.1500986449474134,0.6799999999999999,2576454.734338764,2.751442399037629e-05,2576455.782084972
14,2.9999999999999997e-05,0.001,200000.0,2.628e-07,0.2,1.9097848686697387,1.0051507715356334,1.9038662241695048,0.006534240961873383,2.7032543999999996,0.00011140846016432677,0.0008101251503382302,0.01961463301942116,0.124416,0.07026480488809703,0.6799999999999999,564604.9260215611,9.379924577625567e-06,564605.8211365042
15,2.9999999999999997e-05,0.001,200000.0,2.628e-07,0.35,3.8527215255185223,1.6649238525270147,3.8407892665575427,0.012950149142720413,2.7032543999999996,0.00011140846016432677,0.006651238295021717,0.07647215536286339,0.124416,0.14174933036687748,0.6799999999999999,2297793.5472625573,2.573508909674327e-05,2297794.5765770166
16,0.0019965689999999997,2.440213971050976e-05,20000.0,1.752e-07,0.2,0.06053508923590679,0.16133068064786274,0.06053507428294631,0.03916116426351181,154.8017146368,0.04565520134135787,2.588023664893281e-08,2.0495303124626578e-05,0.124416,0.002227207003167482,0.6799999999999999,567.2704233395749,2.4164112988456773e-07,568.0770873094026
17,0.0019965689999999997,2.440213971050976e-05,20000.0,1.752e-07,0.35,0.10674602286941179,0.21541987051306283,0.10674599127709823,0.05761812380699635,154.8017146368,0.04565520134135787,1.4190633065403533e-07,6.366848870059307e-05,0.124416,0.0039273996734113985,0.6799999999999999,1763.9211718729634,4.3083248968198437e-07,1764.7295795138643
18,0.0019965689999999997,2.440213971050976e-05,20000.0,2.628e-07,0.2,0.05999534447940145,0.1604197601706361,0.059995330650091154,0.03888269554419913,154.8017146368,0.04565520134135787,2.5194128691776362e-08,2.013167748283968e-05,0.124416,0.002207348714086138,0.6799999999999999,557.1996941390906,2.3892007976510103e-07,558.0063378835964
19,0.0019965689999999997,2.440213971050976e-05,20000.0,2.628e-07,0.35,0.10620627798246801,0.2150303550999666,0.10620624773844976,0.05746807194677661,154.8017146368,0.04565520134135787,1.3976461531168897e-07,6.302696688886822e-05,0.124416,0.003907541379530962,0.6799999999999999,1746.1282758659684,4.2927586284815533e-07,1746.9366630033553
20,0.0019965689999999997,2.440213971050976e-05,200000.0,1.752e-07,0.2,0.05081975412912339,0.016512400360599526,0.05081969356260902,0.0004273750533763318,154.8017146368,0.004565520134135788,1.5312424160073148e-08,1.4447513070409426e-05,0.124416,0.0018697603939187076,0.6799999999999999,399.798247330747,2.531380006544585e-09,400.60454755649783
21,0.0019965689999999997,2.440213971050976e-05,200000.0,1.752e-07,0.35,0.09703056294606736,0.02582183862527747,0.09703061713508057,0.0006662586993959885,154.8017146368,0.004565520134135788,1.0657925626999287e-07,5.261702955926215e-05,0.124416,0.0035699484719117097,0.6799999999999999,1457.4473297293357,6.190293645851694e-09,1458.2553684076067
22,0.0019965689999999997,2.440213971050976e-05,200000.0,2.628e-07,0.2,0.04542230665636989,0.01507812723343288,0.045422257560619274,0.00039050387340012344,154.8017146368,0.004565520134135788,1.0933365712768962e-08,1.1542907909404935e-05,0.124416,0.0016711775065011611,0.6799999999999999,319.3847214338665,2.1107253835283152e-09,320.190820167325
23,0.0019965689999999997,2.440213971050976e-05,200000.0,2.628e-07,0.35,0.09163316357833064,0.024974198008626214,0.09163318133471081,0.0006454558268300381,154.8017146368,0.004565520134135788,8.976456187335946e-08,4.6931400775416e-05,0.124416,0.0033713673543739405,0.6799999999999999,1299.813753291582,5.7905528138061284e-09,1300.6215876858923
24,0.0019965689999999997,0.001,20000.0,1.752e-07,0.2,0.06053957010488168,0.16132338437145566,0.05985123559429799,0.0017069079950871244,154.8017146368,0.0011140846016432675,2.5591666972518322e-08,2.0498629804537233e-05,0.124416,0.0022273718632988067,0.6799999999999999,567.3544063169885,2.416192736499111e-07,568.1610704546925
25,0.0019965689999999997,0.001,20000.0,1.752e-07,0.35,0.10675392833384187,0.21541794330875602,0.10554012128741573,0.002681015380609053,154.8017146368,0.0011140846016432675,1.4032404941802725e-07,6.367952275294144e-05,0.124416,0.00392769053125871,0.6799999999999999,1764.182448725561,4.308247810289841e-07,1764.9908566667639
26,0.0019965689999999997,0.001,20000.0,2.628e-07,0.2,0.05999978540812492,0.16041248370347946,0.059317559489937964,0.0016938446319476191,154.8017146368,0.0011140846016432675,2.49131967791642e-08,2.0134942597738663e-05,0.124416,0.0022075121047357323,0.6799999999999999,557.2821863967835,2.388984059428298e-07,558.0888303076424
27,0.0019965689999999997,0.001,20000.0,2.628e-07,0.35,0.1062141438725847,0.2150283555215145,0.10500642234876781,0.0026713224584064,154.8017146368,0.0011140846016432675,1.382061462858788e-07,6.30378822617964e-05,0.124416,0.003907830781360136,0.6799999999999999,1746.3869302887858,4.2926787916814e-07,1747.1953177249234
28,0.0019965689999999997,0.001,200000.0,1.752e-07,0.2,0.05082354131277425,0.0165161005745552,0.05024102021395787,0.0005913411358641207,154.8017146368,0.00011140846016432677,1.5140321068669926e-08,1.4449840847730448e-05,0.124416,0.00186989973197959,0.6799999999999999,399.8578369855583,2.5325146322676364e-09,400.66413735280395
29,0.0019965689999999997,0.001,200000.0,1.752e-07,0.35,0.09703779385807422,0.02582884902961856,0.09592574993967881,0.0011254682308876607,154.8017146368,0.00011140846016432677,1.0538136543796775e-07,5.262608588087783e-05,0.124416,0.0035702145116262665,0.6799999999999999,1457.66456161499,6.193655323767666e-09,1458.4726005671625
30,0.0019965689999999997,0.001,200000.0,2.628e-07,0.2,0.04542569176189257,0.015081440605983341,0.044905020971764444,0.000528741280007794,154.8017146368,0.00011140846016432677,1.0810475391023696e-08,1.1544752968069233e-05,0.124416,0.0016713020513035514,0.6799999999999999,319.432327614638,2.1116531364053615e-09,320.2384264743644
31,0.0019965689999999997,0.001,200000.0,2.628e-07,0.35,0.09163999256400532,0.02498082082875784,0.09058972751998301,0.0010632510976017612,154.8017146368,0.00011140846016432677,8.875561416691238e-08,4.69394185137664e-05,0.124416,0.003371618606414884,0.6799999999999999,1300.0074984360847,5.793624373874525e-09,1300.815333088659
