No,L,C,fsw,t_d,d_cycle,average_current,delta_current,delta_current_percentage,average_voltage,delta_voltage,delta_voltage_percentage,P_ON_H,P_ON_L,P_COSS,P_D,P_G,P_total
1,3e-05,2.44e-05,20000,1.752e-07,0.2,6.501637532235131,13.213530136490345,203.2338787109807,8.786119688562662,3.427265949214414,39.00773117939493,0.04333007217077104,0.1933891551924127,0.0124416,0.01594721653906633,0.06799999999999999,1.6117963042356616
2,3e-05,2.44e-05,20000,1.752e-07,0.35,11.60489273167522,19.31661935187816,166.4523731370132,16.32435435546895,4.954524953861352,30.350510935836777,0.2564868264891812,0.4976849712674735,0.0124416,0.02846448089225298,0.06799999999999999,2.141766138982319
3,3e-05,2.44e-05,20000,2.628e-07,0.2,5.63437243108143,13.120137429188988,232.85889581620688,8.583084926489388,3.4039077856168323,39.65832582072659,0.031789324542016474,0.14598913053391413,0.0124416,0.0207299830484348,0.06799999999999999,1.5576382984577768
4,3e-05,2.44e-05,20000,2.628e-07,0.35,11.542868177699026,19.267588555785355,166.92201850672254,16.24357146647955,4.94236447683015,30.42658744740514,0.2524967456696014,0.4936349666297249,0.0124416,0.04246852059939025,0.06799999999999999,2.147730093232128
5,3e-05,2.44e-05,200000,1.752e-07,0.2,5.438985138988252,1.1024177461268039,20.268813353144647,7.880629511415868,0.028055370879866537,0.35600418518883004,0.027198405520398077,0.13846392679555822,0.124416,0.13340742748910384,0.6799999999999999,2.3821740201384713
6,3e-05,2.44e-05,200000,1.752e-07,0.35,10.417021271518708,1.7271418679917723,16.579997515354698,15.05432182454325,0.04408779383125783,0.29285805328926173,0.190587795892869,0.4170924642662611,0.124416,0.2555086977478109,0.6799999999999999,2.9462932182403523
7,3e-05,2.44e-05,200000,2.628e-07,0.2,4.852693466783206,1.0059714486337539,20.730166772734577,7.043669225574685,0.02529697411194043,0.3591448334923263,0.01935135857467354,0.11252099116766476,0.124416,0.1785402980298877,0.6799999999999999,2.393516908105637
8,3e-05,2.44e-05,200000,2.628e-07,0.35,9.831995166113254,1.6727501599343508,17.01333383177014,14.216976862687137,0.04243086885125713,0.29845212003276284,0.16033833113564971,0.38100319096460694,0.124416,0.3617387661516388,0.6799999999999999,2.9861845485853067
9,3e-05,0.001,20000,1.752e-07,0.2,6.022456967956725,20.201079924360684,335.42921156337337,9.34675180436452,1.0962072205108644,11.728215785070747,0.039550767099355184,0.16356116531363163,0.0124416,0.014771882451004253,0.06799999999999999,1.5770136751974027
10,3e-05,0.001,20000,1.752e-07,0.35,10.904815253670247,37.39450727008574,342.91738466178805,16.410862126502888,2.926895744963236,17.835112636991912,0.22767471993934563,0.4382492560740584,0.0124416,0.026747330854202382,0.06799999999999999,2.0518011672010177
11,3e-05,0.001,20000,2.628e-07,0.2,5.828383585834451,16.063661158045335,275.61091203892505,9.311195635034377,0.5946967397316971,6.38689984661139,0.036901880157343685,0.15333042909495323,0.0124416,0.021443788889002113,0.06799999999999999,1.5708059584747105
12,3e-05,0.001,20000,2.628e-07,0.35,10.711202253133067,33.69764722124489,314.60191325757296,16.358325875468925,2.2910973375097274,14.005695661959363,0.21895863903579582,0.4235285417263323,0.0124416,0.03940865532972717,0.06799999999999999,2.0410256964252667
13,3e-05,0.001,200000,1.752e-07,0.2,5.316974889463687,3.399852272236008,63.943357697123616,7.895146190381458,0.4094171095483441,5.185681172656829,0.026039712455007868,0.1322735306060415,0.124416,0.13041476008876532,0.6799999999999999,2.371832263483226
14,3e-05,0.001,200000,1.752e-07,0.35,10.274329963988365,8.29095645563356,80.69583597853534,14.999379891427573,1.0993203452577553,7.329105291119651,0.1847256113875294,0.40642078338236176,0.124416,0.2520087653567066,0.6799999999999999,2.926259420460009
15,3e-05,0.001,200000,2.628e-07,0.2,4.881000461813762,3.3698883556656902,69.0409349892471,7.071934714161767,0.3650624384771808,5.162129646730647,0.01965634336091533,0.11375898348515115,0.124416,0.1795817689910519,0.6799999999999999,2.3961013561705293
16,3e-05,0.001,200000,2.628e-07,0.35,9.627803071790572,5.49957944105778,57.121852202934306,14.202821421122595,0.7504773385413479,5.284001792948192,0.15359455261805016,0.3654951625213577,0.124416,0.35422613061731867,0.6799999999999999,2.956420106090138
17,0.001997,2.44e-05,20000,1.752e-07,0.2,6.28496649382218,0.35767916166634883,5.691027343072238,9.036288338768275,0.297079831403698,3.2876311629979766,0.041643076184167946,0.17956142525524987,0.0124416,0.015415765816047042,0.06799999999999999,1.5957501275888764
18,0.001997,2.44e-05,20000,1.752e-07,0.35,11.08560650665694,0.5707063930077165,5.148174731486325,15.946498587856638,0.5090140540151431,3.1920114074619526,0.22862885750320186,0.4595589035712325,0.0124416,0.027190775639528146,0.06799999999999999,2.074508397047374
19,0.001997,2.44e-05,20000,2.628e-07,0.2,6.228834738988026,0.3548836773365327,5.697432861963989,8.955721685585807,0.2945535654967486,3.2889986517873955,0.04053787650319793,0.17673306384829668,0.0124416,0.022917128771684746,0.06799999999999999,1.599317929456591
20,0.001997,2.44e-05,20000,2.628e-07,0.35,11.029494198933197,0.5685186101873771,5.154530207218078,15.865881568880795,0.5066534949734507,3.193352306166186,0.22517604712955222,0.45606250966253353,0.0124416,0.04057971505671502,0.06799999999999999,2.080948132182212
21,0.001997,2.44e-05,200000,1.752e-07,0.2,5.279008930728756,0.16295961190440433,3.086935711660334,7.594865227892735,0.21721882559579786,2.8600747883984137,0.024692874816470974,0.13136756281152726,0.124416,0.12948353105291494,0.6799999999999999,2.3686482290143243
22,0.001997,2.44e-05,200000,1.752e-07,0.35,10.07975695905305,0.3056829664549241,3.0326422323147137,14.501077712170884,0.41473806473234553,2.860049942248445,0.1718886461017131,0.3970797558783259,0.124416,0.24723627869165318,0.6799999999999999,2.8993089410051036
23,0.001997,2.44e-05,200000,2.628e-07,0.2,4.718207298667135,0.14595047377986514,3.0933459371548864,6.788231495197754,0.19415179456536613,2.860123357647957,0.01763020938398001,0.1070340792499166,0.124416,0.17359228293256124,0.6799999999999999,2.381360831899869
24,0.001997,2.44e-05,200000,2.628e-07,0.35,9.518972756741285,0.2892810112556976,3.0389940033269913,13.6944358917924,0.39167437916654535,2.860098672638942,0.14476751001714197,0.36265320710692156,0.124416,0.35022204566602533,0.6799999999999999,2.9407470231235004
25,0.001997,0.001,20000,1.752e-07,0.2,8.068300736584606,0.8508228181408937,10.545254148534077,10.788013274515816,0.5702086922593939,5.285576479650613,0.08193178508627788,0.2826140848591635,0.0124416,0.019789928046694723,0.06799999999999999,1.7434656583255477
26,0.001997,0.001,20000,1.752e-07,0.35,14.230297884295373,1.4370041134155418,10.098201211946705,19.023565935129675,1.005498269389875,5.285540433474052,0.4494348032970293,0.6845729128073464,0.0124416,0.03490407465059969,0.06799999999999999,2.5280416510883867
27,0.001997,0.001,20000,2.628e-07,0.2,7.996277018214926,0.8437042475605594,10.551213341392048,10.691819697310288,0.5651711408630256,5.286014512620374,0.07975796752269565,0.27830853092868457,0.0124416,0.029419902405416355,0.06799999999999999,1.746616261190208
28,0.001997,0.001,20000,2.628e-07,0.35,14.158301888939496,1.4297173289884721,10.098084785897745,18.92736618256338,1.000496493523066,5.285978428656186,0.4426488197635837,0.6799132495551633,0.0124416,0.052091224309786195,0.06799999999999999,2.5337831539619446
29,0.001997,0.001,200000,1.752e-07,0.2,6.77942919485399,0.6013348071044282,8.86999170314927,9.054540553647216,0.491234595612962,5.425284614966909,0.04855114386804332,0.20882855329697297,0.124416,0.1662858392913787,0.6799999999999999,2.506769796789806
30,0.001997,0.001,200000,1.752e-07,0.35,12.944529314009086,1.1416703410346063,8.81971304896382,17.28793747810869,0.9379198449735213,5.425284804281524,0.33795781963987787,0.6003828796630692,0.124416,0.3175034150140149,0.6799999999999999,3.338948374650373
31,0.001997,0.001,200000,2.628e-07,0.2,6.059278079226994,0.5378219829784623,8.876007602659397,8.092875514665167,0.43909805932198154,5.425735988725989,0.03466501702987821,0.1709381476819661,0.124416,0.22293295909091954,0.6799999999999999,2.511640384136175
32,0.001997,0.001,200000,2.628e-07,0.35,12.224403484576824,1.0788767793006304,8.825598571429829,16.326267086029787,0.8858202259080734,5.425736460394307,0.2846354828752213,0.5522063442256891,0.124416,0.44976025300455047,0.6799999999999999,3.3697063404388725
